incident_id,participant_id,ndis_number,dob,incident_date,incident_time,notification_date,location,incident_type,subcategory,severity,reportable,description,immediate_action,actions_taken,contributing_factors,reported_by,injury_type,injury_severity,treatment_required,medical_attention_required,medical_treatment_type,medical_outcome
501,418,920249609,1997-07-20,2024-11-11,14:16,,Care Home 9,Transport Incident,Unsafe driver behavior,Minor,Non-Reportable,An incident of type Transport Incident (Unsafe driver behavior) occurred. A Transport Incident incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,89,,,False,False,,
502,576,852373587,1966-01-12,2024-11-11,14:48,,Care Home 18,Financial Misconduct / Error,Unauthorised transactions,Minor,Non-Reportable,An incident of type Financial Misconduct / Error (Unauthorised transactions) occurred. A Financial Misconduct / Error incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,56,,,False,False,,
503,105,243462431,2016-12-25,2024-11-11,23:52,,Care Home 3,Assault (Unlawful Contact),Threats of violence,Major,Non-Reportable,An incident of type Assault (Unlawful Contact) (Threats of violence) occurred. A Assault (Unlawful Contact) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,31,,,True,True,Specialist Consultation,Recovered
504,474,770503143,1950-07-13,2024-11-12,03:18,,Care Home 20,Self-Harm / Suicide,Ingestion of harmful substances,Major,Non-Reportable,An incident of type Self-Harm / Suicide (Ingestion of harmful substances) occurred. A Self-Harm / Suicide incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,168,,,True,True,GP Visit,Recovered
505,306,446257450,1958-03-22,2024-11-12,10:40,,Care Home 7,Assault (Unlawful Contact),Threats of violence,Minor,Non-Reportable,An incident of type Assault (Unlawful Contact) (Threats of violence) occurred. A Assault (Unlawful Contact) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,138,,,False,False,,
506,419,595122185,1964-08-12,2024-11-13,12:47,,"870 Pitt St, Newtown NSW 2260",Assault (Unlawful Contact),Sexual assault,Minor,Non-Reportable,An incident of type Assault (Unlawful Contact) (Sexual assault) occurred. A Assault (Unlawful Contact) incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,64,,,False,False,,
507,23,837772940,2013-02-24,2024-11-13,20:54,,"179 Pitt St, Parramatta NSW 2770",Verbal Abuse / Argument,Threatening language,Major,Non-Reportable,An incident of type Verbal Abuse / Argument (Threatening language) occurred. A Verbal Abuse / Argument incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,139,,,True,True,GP Visit,Recovered
508,485,024652856,1984-04-29,2024-11-13,21:04,,Care Home 11,Assault (Unlawful Contact),Sexual assault,Minor,Non-Reportable,An incident of type Assault (Unlawful Contact) (Sexual assault) occurred. A Assault (Unlawful Contact) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,123,,,False,False,,
509,165,103268410,1975-02-19,2024-11-14,03:45,,Care Home 5,Neglect (Expanded),Ignoring medical needs,Minor,Non-Reportable,An incident of type Neglect (Expanded) (Ignoring medical needs) occurred. A Neglect (Expanded) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,118,,,False,False,,
510,278,360575906,1995-09-03,2024-11-14,11:11,,"770 George St, Bondi NSW 2842",Neglect (Expanded),Withholding food/water,Minor,Non-Reportable,An incident of type Neglect (Expanded) (Withholding food/water) occurred. A Neglect (Expanded) incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,174,,,False,False,,
511,454,873971233,1945-02-23,2024-11-15,10:32,2024-11-16,"515 Victoria Rd, Bondi NSW 2247",Transport Incident,Fall during entry/exit,Critical,Reportable,An incident of type Transport Incident (Fall during entry/exit) occurred. A Transport Incident incident occurred. This occurred in a community setting. The matter was escalated promptly and relevant parties were notified.,Safety of the participant was assessed. Emergency services were contacted.,Incident was documented. Relevant authorities were notified as per reporting guidelines.,human factors; environmental factors,33,,,True,True,Specialist Consultation,Recovered
512,141,130600492,1964-11-29,2024-11-15,11:02,,"938 Victoria Rd, Bondi NSW 2058",Verbal Abuse / Argument,Hostile disagreements,Minor,Non-Reportable,An incident of type Verbal Abuse / Argument (Hostile disagreements) occurred. A Verbal Abuse / Argument incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,78,,,False,False,,
513,354,463270701,1977-10-05,2024-11-17,13:13,,"216 Queen St, Bondi NSW 2105",Infectious Disease Exposure,Gastroenteritis,Minor,Non-Reportable,An incident of type Infectious Disease Exposure (Gastroenteritis) occurred. A Infectious Disease Exposure incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,18,,,False,False,,
514,263,848755505,2018-03-23,2024-11-19,05:33,2024-11-20,"771 Oxford St, Burwood NSW 2666",Near Miss,Almost tripped,Critical,Reportable,An incident of type Near Miss (Almost tripped) occurred. A Near Miss incident occurred. This occurred in a community setting. The matter was escalated promptly and relevant parties were notified.,Safety of the participant was assessed. Emergency services were contacted.,Incident was documented. Relevant authorities were notified as per reporting guidelines.,human factors; environmental factors,13,,,True,True,First Aid,Stable
515,611,176839883,2008-07-16,2024-11-19,11:03,,Care Home 8,Financial Misconduct / Error,Unauthorised transactions,Minor,Non-Reportable,An incident of type Financial Misconduct / Error (Unauthorised transactions) occurred. A Financial Misconduct / Error incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,174,,,False,False,,
516,44,587874190,1961-08-19,2024-11-21,08:24,,Care Home 2,Near Miss,Medication nearly administered incorrectly,Major,Non-Reportable,An incident of type Near Miss (Medication nearly administered incorrectly) occurred. A Near Miss incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,165,,,True,True,Hospital Visit,Recovered
517,369,924132820,1948-12-24,2024-11-22,02:56,,Care Home 21,Restrictive Practices (Unauthorised),Environmental restraint,Minor,Non-Reportable,An incident of type Restrictive Practices (Unauthorised) (Environmental restraint) occurred. A Restrictive Practices (Unauthorised) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,94,,,False,False,,
518,84,546157900,1971-03-10,2024-11-22,07:16,,Care Home 2,Transport Incident,Vehicle crash,Major,Non-Reportable,An incident of type Transport Incident (Vehicle crash) occurred. A Transport Incident incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,77,,,True,True,Hospital Visit,Ongoing Care
519,353,076564245,1968-07-06,2024-11-22,19:45,,"838 King St, Manly NSW 2199",Near Miss,Door not secured,Critical,Reportable,An incident of type Near Miss (Door not secured) occurred. A Near Miss incident occurred. This occurred in a community setting. The matter was escalated promptly and relevant parties were notified.,Safety of the participant was assessed. Emergency services were contacted.,Incident was documented. Relevant authorities were notified as per reporting guidelines.,human factors; environmental factors,24,,,True,True,Hospital Visit,Recovered
520,432,793935352,1960-05-14,2024-11-23,19:19,,Care Home 19,Verbal Abuse / Argument,Participant-to-participant or staff,Minor,Non-Reportable,An incident of type Verbal Abuse / Argument (Participant-to-participant or staff) occurred. A Verbal Abuse / Argument incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,136,,,False,False,,
521,70,712867675,2016-09-14,2024-11-24,00:55,,Care Home 17,Infectious Disease Exposure,Flu outbreaks,Major,Non-Reportable,An incident of type Infectious Disease Exposure (Flu outbreaks) occurred. A Infectious Disease Exposure incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,71,,,True,True,Specialist Consultation,Recovered
522,95,290419461,1954-06-23,2024-11-24,00:59,,Care Home 24,Self-Harm / Suicide,Ingestion of harmful substances,Major,Non-Reportable,An incident of type Self-Harm / Suicide (Ingestion of harmful substances) occurred. A Self-Harm / Suicide incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,147,,,True,True,Hospital Visit,Recovered
523,182,082810135,2010-03-26,2024-11-25,07:34,,Care Home 4,Behavioural Incident,Intimidation,Minor,Non-Reportable,An incident of type Behavioural Incident (Intimidation) occurred. A Behavioural Incident incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,159,,,False,False,,
524,483,969421838,2006-06-21,2024-11-25,16:40,,Care Home 16,Financial Misconduct / Error,Theft,Minor,Non-Reportable,An incident of type Financial Misconduct / Error (Theft) occurred. A Financial Misconduct / Error incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,32,,,False,False,,
525,92,079553187,1966-02-10,2024-11-27,23:19,,"431 Victoria Rd, Blacktown NSW 2501",Verbal Abuse / Argument,Hostile disagreements,Major,Non-Reportable,An incident of type Verbal Abuse / Argument (Hostile disagreements) occurred. A Verbal Abuse / Argument incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,129,,,True,True,Hospital Visit,Recovered
526,324,300465266,1987-06-13,2024-11-28,13:14,,"925 Pitt St, Parramatta NSW 2454",Financial Misconduct / Error,Unauthorised transactions,Major,Non-Reportable,An incident of type Financial Misconduct / Error (Unauthorised transactions) occurred. A Financial Misconduct / Error incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,101,,,True,True,Specialist Consultation,Recovered
527,615,886114548,1986-12-17,2024-11-29,12:58,,"239 Oxford St, Bondi NSW 2089",Near Miss,Door not secured,Minor,Non-Reportable,An incident of type Near Miss (Door not secured) occurred. A Near Miss incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,105,,,False,False,,
528,428,831356363,1939-11-27,2024-11-29,15:19,2024-11-30,Care Home 24,Verbal Abuse / Argument,Threatening language,Critical,Reportable,An incident of type Verbal Abuse / Argument (Threatening language) occurred. A Verbal Abuse / Argument incident occurred. This occurred in a supervised residential setting. The matter was escalated promptly and relevant parties were notified.,Safety of the participant was assessed. Emergency services were contacted.,Incident was documented. Relevant authorities were notified as per reporting guidelines.,human factors; environmental factors,38,,,True,True,Hospital Visit,Recovered
529,334,865242755,1987-04-05,2024-11-29,20:48,,"539 King St, Hornsby NSW 2148",Self-Harm / Suicide,Cutting,Major,Non-Reportable,An incident of type Self-Harm / Suicide (Cutting) occurred. A Self-Harm / Suicide incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,103,,,True,True,Hospital Visit,Recovered
530,156,317010454,1966-03-21,2024-12-01,04:14,,Care Home 20,Assault (Unlawful Contact),"Physical assault (hitting, kicking)",Minor,Non-Reportable,"An incident of type Assault (Unlawful Contact) (Physical assault (hitting, kicking)) occurred. A Assault (Unlawful Contact) incident occurred. This occurred in a supervised residential setting.",Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,51,,,False,False,,
531,194,711948787,1963-09-22,2024-12-02,13:08,,Care Home 8,Financial Misconduct / Error,Unauthorised transactions,Major,Non-Reportable,An incident of type Financial Misconduct / Error (Unauthorised transactions) occurred. A Financial Misconduct / Error incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,143,,,True,True,Hospital Visit,Recovered
532,128,191169548,1955-04-04,2024-12-03,16:28,,Care Home 19,Service Complaint,Delays,Major,Non-Reportable,An incident of type Service Complaint (Delays) occurred. A Service Complaint incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,159,,,True,True,Hospital Visit,Recovered
533,436,490589273,1969-09-06,2024-12-05,14:14,,"484 Church St, Parramatta NSW 2291",Neglect (Expanded),Lack of supervision,Minor,Non-Reportable,An incident of type Neglect (Expanded) (Lack of supervision) occurred. A Neglect (Expanded) incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,103,,,False,False,,
534,350,626654926,2010-05-22,2024-12-07,00:21,,"561 Bridge Rd, Surry Hills NSW 2173",Neglect (Expanded),Withholding food/water,Minor,Non-Reportable,An incident of type Neglect (Expanded) (Withholding food/water) occurred. A Neglect (Expanded) incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,42,,,False,False,,
535,200,598341750,1979-07-30,2024-12-07,00:55,,"86 George St, Bondi NSW 2691",Sexual Misconduct,Exhibitionism,Minor,Non-Reportable,An incident of type Sexual Misconduct (Exhibitionism) occurred. A Sexual Misconduct incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,151,,,False,False,,
536,477,238319341,1942-06-26,2024-12-09,03:46,,Care Home 3,Self-Harm / Suicide,Ingestion of harmful substances,Minor,Non-Reportable,An incident of type Self-Harm / Suicide (Ingestion of harmful substances) occurred. A Self-Harm / Suicide incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,71,,,False,False,,
537,425,338094445,2008-02-20,2024-12-09,13:23,2024-12-10,"511 Victoria Rd, Manly NSW 2233",Missing Person / Unexplained Absence,Wandering from facility,Critical,Reportable,An incident of type Missing Person / Unexplained Absence (Wandering from facility) occurred. A Missing Person / Unexplained Absence incident occurred. This occurred in a community setting. The matter was escalated promptly and relevant parties were notified.,Safety of the participant was assessed. Emergency services were contacted.,Incident was documented. Relevant authorities were notified as per reporting guidelines.,human factors; environmental factors,6,,,True,True,GP Visit,Recovered
538,631,685885970,1984-10-01,2024-12-10,06:06,,Care Home 14,Self-Harm / Suicide,Cutting,Major,Non-Reportable,An incident of type Self-Harm / Suicide (Cutting) occurred. A Self-Harm / Suicide incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,70,,,True,True,Specialist Consultation,Recovered
539,121,954618484,1950-04-29,2024-12-10,14:22,,Care Home 1,Equipment Failure,Bed rail collapse,Major,Non-Reportable,An incident of type Equipment Failure (Bed rail collapse) occurred. A Equipment Failure incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,68,,,True,True,Hospital Visit,Stable
540,398,675301862,1997-11-10,2024-12-11,23:21,,Care Home 17,Restrictive Practices (Unauthorised),Physical restraint,Minor,Non-Reportable,An incident of type Restrictive Practices (Unauthorised) (Physical restraint) occurred. A Restrictive Practices (Unauthorised) incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,129,,,False,False,,
541,237,615183628,2004-09-13,2024-12-12,10:40,,"114 Pitt St, Surry Hills NSW 2333",Near Miss,Medication nearly administered incorrectly,Minor,Non-Reportable,An incident of type Near Miss (Medication nearly administered incorrectly) occurred. A Near Miss incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,1,,,False,False,,
542,306,446257450,1958-03-22,2024-12-13,05:09,,Care Home 7,Sexual Misconduct,Inappropriate touching,Minor,Non-Reportable,An incident of type Sexual Misconduct (Inappropriate touching) occurred. A Sexual Misconduct incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,122,,,False,False,,
543,162,570246202,1990-10-02,2024-12-14,00:25,,Care Home 2,Equipment Failure,Bed rail collapse,Minor,Non-Reportable,An incident of type Equipment Failure (Bed rail collapse) occurred. A Equipment Failure incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,168,,,False,False,,
544,174,743675210,1956-04-19,2024-12-14,03:38,,"724 King St, Hornsby NSW 2725",Self-Harm / Suicide,Ingestion of harmful substances,Minor,Non-Reportable,An incident of type Self-Harm / Suicide (Ingestion of harmful substances) occurred. A Self-Harm / Suicide incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,175,,,False,False,,
545,127,307950507,1961-06-29,2024-12-14,14:45,,"960 Queen St, Chatswood NSW 2483",Neglect (Expanded),Lack of supervision,Minor,Non-Reportable,An incident of type Neglect (Expanded) (Lack of supervision) occurred. A Neglect (Expanded) incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,136,,,False,False,,
546,507,237254397,1962-03-05,2024-12-14,18:23,,Care Home 14,Near Miss,Almost tripped,Major,Non-Reportable,An incident of type Near Miss (Almost tripped) occurred. A Near Miss incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,145,,,True,True,Specialist Consultation,Recovered
547,177,348729737,1999-06-22,2024-12-17,11:51,,Care Home 7,Infectious Disease Exposure,Flu outbreaks,Minor,Non-Reportable,An incident of type Infectious Disease Exposure (Flu outbreaks) occurred. A Infectious Disease Exposure incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,66,,,False,False,,
548,3,601725088,1971-07-04,2024-12-17,12:53,,Care Home 23,Missing Person / Unexplained Absence,Participant not returning,Minor,Non-Reportable,An incident of type Missing Person / Unexplained Absence (Participant not returning) occurred. A Missing Person / Unexplained Absence incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,153,,,False,False,,
549,388,373330470,1960-01-17,2024-12-18,00:41,,"643 George St, Chatswood NSW 2977",Service Complaint,Inaccessible services,Major,Non-Reportable,An incident of type Service Complaint (Inaccessible services) occurred. A Service Complaint incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,126,,,True,True,Hospital Visit,Recovered
550,13,458121826,2006-04-30,2024-12-18,05:45,,Care Home 21,Assault (Unlawful Contact),"Physical assault (hitting, kicking)",Major,Non-Reportable,"An incident of type Assault (Unlawful Contact) (Physical assault (hitting, kicking)) occurred. A Assault (Unlawful Contact) incident occurred. This occurred in a supervised residential setting.",Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,12,,,True,True,GP Visit,Recovered
551,307,536765180,1972-09-11,2024-12-18,07:12,,"14 Railway Pde, Parramatta NSW 2227",Restrictive Practices (Unauthorised),Mechanical restraint,Minor,Non-Reportable,An incident of type Restrictive Practices (Unauthorised) (Mechanical restraint) occurred. A Restrictive Practices (Unauthorised) incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,71,,,False,False,,
552,420,714405430,1963-03-20,2024-12-18,13:21,,Care Home 22,Assault (Unlawful Contact),"Physical assault (hitting, kicking)",Minor,Non-Reportable,"An incident of type Assault (Unlawful Contact) (Physical assault (hitting, kicking)) occurred. A Assault (Unlawful Contact) incident occurred. This occurred in a supervised residential setting.",Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,153,,,False,False,,
553,403,991893448,1971-09-13,2024-12-18,16:30,,"817 King St, Chatswood NSW 2477",Sexual Misconduct,Inappropriate touching,Major,Non-Reportable,An incident of type Sexual Misconduct (Inappropriate touching) occurred. A Sexual Misconduct incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,162,,,True,True,GP Visit,Stable
554,303,413562750,2007-07-11,2024-12-19,06:18,,"816 Railway Pde, Hornsby NSW 2774",Equipment Failure,Hoist malfunction,Minor,Non-Reportable,An incident of type Equipment Failure (Hoist malfunction) occurred. A Equipment Failure incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,172,,,False,False,,
555,361,732516758,1997-05-01,2024-12-20,07:13,,Care Home 14,Unethical Staff Behaviour,Deliberate neglect,Minor,Non-Reportable,An incident of type Unethical Staff Behaviour (Deliberate neglect) occurred. A Unethical Staff Behaviour incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,101,,,False,False,,
556,419,595122185,1964-08-12,2024-12-21,08:06,,"103 Victoria Rd, Newtown NSW 2406",Self-Harm / Suicide,Ingestion of harmful substances,Minor,Non-Reportable,An incident of type Self-Harm / Suicide (Ingestion of harmful substances) occurred. A Self-Harm / Suicide incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,15,,,False,False,,
557,439,787617643,1975-05-12,2024-12-22,03:59,,"998 Church St, Hornsby NSW 2576",Restrictive Practices (Unauthorised),Chemical restraint,Minor,Non-Reportable,An incident of type Restrictive Practices (Unauthorised) (Chemical restraint) occurred. A Restrictive Practices (Unauthorised) incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,139,,,False,False,,
558,608,141299625,1948-09-19,2024-12-22,10:04,,Care Home 24,Assault (Unlawful Contact),"Physical assault (hitting, kicking)",Major,Non-Reportable,"An incident of type Assault (Unlawful Contact) (Physical assault (hitting, kicking)) occurred. A Assault (Unlawful Contact) incident occurred. This occurred in a supervised residential setting.",Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,83,,,True,True,Hospital Visit,Recovered
559,96,729729162,1991-05-14,2024-12-24,02:09,,Care Home 10,Missing Person / Unexplained Absence,Participant not returning,Minor,Non-Reportable,An incident of type Missing Person / Unexplained Absence (Participant not returning) occurred. A Missing Person / Unexplained Absence incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,21,,,False,False,,
560,555,072858224,1995-06-23,2024-12-25,11:20,,"584 Railway Pde, Manly NSW 2628",Verbal Abuse / Argument,Hostile disagreements,Minor,Non-Reportable,An incident of type Verbal Abuse / Argument (Hostile disagreements) occurred. A Verbal Abuse / Argument incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,31,,,False,False,,
561,633,447694882,1965-04-05,2024-12-26,01:23,,"379 George St, Chatswood NSW 2111",Serious Injury,Fractures,Minor,Non-Reportable,An incident of type Serious Injury (Fractures) occurred. A Serious Injury incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,105,,,False,False,,
562,493,173810991,1955-08-07,2024-12-26,17:26,,Care Home 10,Serious Injury,Head injury,Major,Non-Reportable,An incident of type Serious Injury (Head injury) occurred. A Serious Injury incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,75,,,True,True,Specialist Consultation,Fatal
563,629,547736428,1958-09-24,2024-12-27,10:30,,Care Home 12,Equipment Failure,Bed rail collapse,Minor,Non-Reportable,An incident of type Equipment Failure (Bed rail collapse) occurred. A Equipment Failure incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,24,,,False,False,,
564,517,213852221,1966-05-13,2024-12-28,05:46,,"813 High St, Surry Hills NSW 2965",Sexual Misconduct,Sharing sexual images without consent,Minor,Non-Reportable,An incident of type Sexual Misconduct (Sharing sexual images without consent) occurred. A Sexual Misconduct incident occurred. This occurred in a community setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,99,,,False,False,,
565,121,954618484,1950-04-29,2024-12-28,07:43,2024-12-29,Care Home 1,Financial Misconduct / Error,Billing error,Critical,Reportable,An incident of type Financial Misconduct / Error (Billing error) occurred. A Financial Misconduct / Error incident occurred. This occurred in a supervised residential setting. The matter was escalated promptly and relevant parties were notified.,Safety of the participant was assessed. Emergency services were contacted.,Incident was documented. Relevant authorities were notified as per reporting guidelines.,human factors; environmental factors,129,,,True,True,First Aid,Stable
566,472,220509597,2011-04-05,2024-12-29,10:34,,Care Home 2,Unethical Staff Behaviour,Deliberate neglect,Minor,Non-Reportable,An incident of type Unethical Staff Behaviour (Deliberate neglect) occurred. A Unethical Staff Behaviour incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,133,,,False,False,,
567,139,633541129,2000-01-29,2024-12-30,01:12,,Care Home 22,Self-Harm / Suicide,Cutting,Major,Non-Reportable,An incident of type Self-Harm / Suicide (Cutting) occurred. A Self-Harm / Suicide incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Support was provided to the participant.,Incident was documented. Incident was escalated internally for review.,human factors; environmental factors,59,,,True,True,Specialist Consultation,Recovered
568,305,806318351,1969-01-06,2024-12-30,07:06,,Care Home 17,Environmental Hazard,Fire alarm,Minor,Non-Reportable,An incident of type Environmental Hazard (Fire alarm) occurred. A Environmental Hazard incident occurred. This occurred in a supervised residential setting.,Safety of the participant was assessed. Situation was managed by support staff.,Incident was documented. Incident was reviewed by the supervisor.,human factors; environmental factors,24,,,False,False,,
